Room,Door,Lead to,Logic,Status,Notes
Roots 18,Roots18LowerRight,Roots19Left,Roots18UpperRight + (dodge | double_jump | WALL_DASH),Done,
Roots 18,Roots18UpperRight,Roots15Left,Roots18LowerRight  + (high_jump | (dodge + double_jump),Done,
Roots 19,Roots19Left,Roots18LowerRight,Roots19Right,Done,
Roots 19,Roots19Right,Roots21Left,Roots19Left,Done,
Roots 20,Roots20Lower,Roots04Upper,Roots20Upper + Roots20Upper_Lever,Done,
Roots 20,Roots20Upper,Roots13Lower,Roots20Lower + wall_grab + (dodge | double_jump),Done,
Roots 20,Roots20Upper_Lever,,Roots20Lower + wall_grab + (dodge | double_jump),Done,
Roots 21,Roots21Left,Roots19Right,(Roots21Right | Roots21Lower) + (wall_grab + hook + double_jump + dodge),Done,
Roots 21,Roots21Lower,Roots22Upper,"(Roots21Left + hook + dodge + double_jump + (wall_grab | high_jump)) 
| Roots21Right",Done,
Roots 21,Roots21Right,Roots04Left,"(Roots21Lower + (WALL_DASH | dodge | double_jump)) 
| (Roots21Left + hook + dodge + double_jump + (wall_grab | high_jump)) ",Done,
Roots 22,Roots22Upper,Roots21Lower,None,Done,
Roots 23,Roots23Left,Roots13Right,None,Done,
Roots 24,Roots24HiddenLeft,Roots30Right,"(Roots24Left | Roots24LowerLeft | Roots24LowerRight | Roots24Right | Roots24UpperLeft | Roots24UpperRight) 
+ (high_jump + (dodge | double_jump)) | (dive + WALL_DASH + double_jump)",Done,
Roots 24,Roots24Left,Roots03Right,"( Roots24HiddenLeft 
| ((Roots24LowerLeft | Roots24LowerRight | Roots24Right | Roots24UpperLeft | Roots24UpperRight) + (wall_grab | dodge | double_jump) 
+ dive) ",Done,
Roots 24,Roots24LowerLeft,Roots29Upper,"((Roots24Left | Roots24HiddenLeft | Roots24LowerRight | Roots24Right | Roots24UpperLeft | Roots24UpperRight) 
+ (dodge | wall_grab | double_jump) 
+ dive)",Done,
Roots 24,Roots24LowerRight,Roots26Upper,"(Roots24UpperRight 
| (Roots24Left | Roots24HiddenLeft | Roots24Right | Roots24UpperLeft | Roots24LowerLeft) 
+ (dodge | wall_grab | double_jump) 
+ dive)",Done,
Roots 24,Roots24Right,Roots25Left,"((Roots24UpperRight | Roots21LowerRight)
| (Roots24Left | Roots24HiddenLeft | Roots24UpperLeft | Roots24LowerLeft) 
+ (dodge | wall_grab | double_jump) 
+ dive)",Done,
Roots 24,Roots24UpperLeft,Roots28Lower,"((Roots24Left | Roots24HiddenLeft | Roots24LowerRight | Roots24Right | Roots24LowerLeft | Roots24UpperRight) 
+ (dodge | wall_grab | double_jump) 
+ dive)",Done,
Roots 24,Roots24UpperRight,Roots27Lower,"((Roots24Left | Roots24HiddenLeft | Roots24LowerRight | Roots24Right | Roots24UpperLeft | Roots24LowerLeft) 
+ (dodge | wall_grab | double_jump) 
+ dive)",Done,
Roots 25,Roots25Left,Roots24Right,Roots25Right + dive,Done,
Roots 25,Roots25Right,Swamp10Left,Roots25Left + dive,Done,
Roots 26,Roots26Upper,Roots24LowerRight,None,Done,
Roots 27,Roots27Lower,Roots24UpperRight,None,Done,
Roots 28,Roots28Lower,Roots24UpperLeft,None,Done,
Roots 29,Roots29Upper,Roots24LowerLeft,None,Done,
Roots 30,Roots30Right,Roots24HiddenLeft,None,Done,
Ruins 1,Ruins01Left,Ruins15Right,Ruins01Right,Done,
Ruins 1,Ruins01Right,Ruins02UpperLeft,Ruins01Left,Done,
Ruins 2,Ruins02LowerLeft,Ruins07UpperRight,(Ruins02LowerRight | Ruins02UpperLeft | Ruins02UpperRight) + Ruins07UpperRight_Lever,Done,
Ruins 2,Ruins02LowerRight,Ruins03Left,Ruins02LowerLeft | Ruins02UpperLeft | Ruins02UpperRight,Done,
Ruins 2,Ruins02UpperLeft,Ruins01Right,Ruins02LowerLeft | Ruins02LowerRight | Ruins02UpperRight,Done,
Ruins 2,Ruins02UpperRight,Ruins09Left,Ruins02LowerLeft | Ruins02LowerRight | Ruins02UpperLeft,Done,
Ruins 3,Ruins03Left,Ruins02LowerRight,Ruins03Right,Done,
Ruins 3,Ruins03Right,Ruins04UpperLeft,Ruins03Left,Done,
Ruins 4,Ruins04LowerLeft,Ruins05Right,Ruins04UpperLeft,Done,
Ruins 4,Ruins04UpperLeft,Ruins03Right,,Done,
Ruins 5,Ruins05Left,Ruins06Right,Ruins05Right,Done,
Ruins 5,Ruins05Right,Ruins04LowerLeft,Ruins05Left,Done,
Ruins 6,Ruins06Left,Ruins07LowerRight,Ruins06Right,Done,
Ruins 6,Ruins06Right,Ruins05Left,Ruins06Left,Done,
Ruins 7,Ruins07UpperRight_Lever,,Ruins07LowerRight | Ruins07LowerLeft,Done,
Ruins 7,Ruins07LowerLeft,Ruins08Right,Ruins07LowerRight | Ruins07UpperRight,Done,
Ruins 7,Ruins07LowerRight,Ruins06Left,Ruins07LowerLeft | Ruins07UpperRight,Done,
Ruins 7,Ruins07UpperRight,Ruins02LowerLeft,Ruins07LowerLeft | Ruins07LowerRight,Done,
Ruins 8,Ruins08Left,Quarry01Right,Ruins08Right + dash_charge,Done,
Ruins 8,Ruins08Right,Ruins07LowerLeft,Ruins08Left,Done,
Ruins 9,Ruins09Left,Ruins02UpperRight,Ruins09Right,Done,
Ruins 9,Ruins09Right,Ruins10LowerLeft,Ruins09Left,Done,
Ruins 10,Ruins10LowerLeft,Ruins09Right,Ruins10UpperLeft,Done,
Ruins 10,Ruins10Right,Ruins13Left,(Ruins10LowerLeft | Ruins10UpperLeft) + key_ruins_tuto,Done,
Ruins 10,Ruins10UpperLeft,Ruins11Right,Ruins10LowerLeft,Done,
Ruins 11,Ruins11Left,Ruins12Right,Ruins11Right,Done,
Ruins 11,Ruins11Right,Ruins10UpperLeft,Ruins11Left,Done,
Ruins 12,Ruins12Right,Ruins11Left,,Done,
Ruins 13,Ruins13Left,Ruins10Right,,Done,
Ruins 13,Ruins13Upper,Crossroad01Lower,Ruins13Left,Done,
Ruins 14,Ruins14Right,Ruins16Left,,Done,
Ruins 15,Ruins15Left,Ruins16Right,Ruins15Right,Done,
Ruins 15,Ruins15Right,Ruins01Left,Ruins15Left,Done,
Ruins 16,Ruins16Left,Ruins14Right,Ruins16Right,Done,
Ruins 16,Ruins16Right,Ruins15Left,Ruins16Left,Done,
Sewer 1,Sewer01Right,Sewer03UpperLeft,Sewer01Upper,Done,
Sewer 1,Sewer01Upper,Slum02Lower,Sewer01Right,Done,
Sewer 2,Sewer02Lower,Sewer04Upper,(Sewer02UpperLeft + Sewer02LowerLeft) + swim,Done,
Sewer 2,Sewer02LowerLeft,Sewer03CenterRight,(Sewer02UpperLeft + Sewer02Lower) + swim,Done,
Sewer 2,Sewer02UpperLeft,Sewer03UpperRight,(Sewer02LowerLeft + Sewer02Lower) + swim,Done,
Sewer 3,Sewer03CenterRight,Sewer02LowerLeft,"(Sewer03UpperLeft | Sewer03UpperRight)
| (Sewer03LowerRight | Sewer03LowerLeft | Sewer03LowerCenter) + (double_jump + (wall_grab | high_jump)
| (Sewer03HiddenLeft + (double_jump + (high_jump | wall_grab))",Done,
Sewer 3,Sewer03HiddenLeft,Sewer05Right,"(Sewer03UpperLeft | Sewer03UpperRight) + (wall_grab | double_jump + high_jump | dodge)
| (Sewer03LowerLeft | Sewer03LowerRight | Sewer03LowerCenter)  + (double_jump + wall_grab)
| (Sewer03CenterRight) + (double_jump | dodge | high_jump + wall_grab)",Done,
Sewer 3,Sewer03LowerCenter,Sewer12Upper,(Sewer03CenterRight | Sewer03HiddenLeft | Sewer03LowerLeft | Sewer03LowerRight | Sewer03UpperLeft | Sewer03UpperRight) + swim,Done,
Sewer 3,Sewer03LowerLeft,Sewer06Right,Sewer03CenterRight | Sewer03HiddenLeft | Sewer03LowerCenter | Sewer03LowerRight | Sewer03UpperLeft | Sewer03UpperRight,Done,
Sewer 3,Sewer03LowerRight,Sewer04Left,(Sewer03CenterRight | Sewer03HiddenLeft | Sewer03LowerCenter | Sewer03LowerLeft | Sewer03UpperLeft | Sewer03UpperRight) + swim,Done,
Sewer 3,Sewer03UpperLeft,Sewer01Right,"Sewer03HiddenLeft + (double_jump + wall_grab | high_jump) 
| (Sewer03LowerCenter | Sewer03LowerRight | Sewer03LowerLeft) + (double_jump + wall_grab | high_jump)
| (Sewer03UpperRight + (double_jump | WALL_DASH | high_jump))",Done,
Sewer 3,Sewer03UpperRight,Sewer02UpperLeft,"Sewer03UpperLeft + wall_grab
| (Sewer03LowerLeft | Sewer03UpperRight | Sewer03LowerRight | Sewer03LowerCenter) + (double_jump + wall_grab | high_jump)
| (Sewer03HiddenLeft + (double_jump + wall_grab | high_jump)",Done,
Sewer 4,Sewer04Left,Sewer03LowerRight,Sewer04Right | Sewer04Upper | Sewer04Lower,Done,
Sewer 4,Sewer04Lower,Sewer13Upper,(Sewer04Right | Sewer04Upper | Sewer04Left) + swim,Done,
Sewer 4,Sewer04Right,Sewer14UpperLeft,Sewer04Left | Sewer04Upper | Sewer04Lower,Done,
Sewer 4,Sewer04Upper,Sewer02Lower,(Sewer04Left | Sewer04Right | Sewer04Lower) + swim,Done,
Sewer 5,Sewer05Right,Sewer03HiddenLeft,None,Done,
Sewer 6,Sewer06Left,Sewer07UpperRight,Sewer06Right,Done,
Sewer 6,Sewer06Right,Sewer03LowerLeft,Sewer06Left + (double_jump + dodge | wall_grab),Done,
Sewer 7,Sewer07LowerRight,Sewer08Left,Sewer07UpperRight + pile_attack,Done,
Sewer 7,Sewer07UpperRight,Sewer06Left,None,Done,
Sewer 8,Sewer08Left,Sewer07LowerRight,Sewer08Lower + WALL_DASH,Done,
Sewer 8,Sewer08Lower,Sewer09UpperLeft,Sewer08Left,Done,
Sewer 9,Sewer09Left,Roots06Right,(Sewer09UpperRight | Sewer09Right | Sewer09UpperLeft) + (hook + key_owner),Done,
Sewer 9,Sewer09Right,Sewer10Left,Sewer09Left | Sewer09UpperRight | Sewer09UpperLeft,Done,
Sewer 9,Sewer09UpperLeft,Sewer08Lower,(Sewer09Right | Sewer09UpperRight | Sewer09Right) + (double_jump + dodge + wall_grab) ,Done,
Sewer 9,Sewer09UpperRight,Sewer12Lower,(Sewer09Left | Sewer09UpperLeft | Sewer09Right) + swim,Done,
Sewer 10,Sewer10Left,Sewer09Right,Sewer10Right + (double_jump | high_jump | WALL_DASH),Done,wall dash off left wall
Sewer 10,Sewer10Right,Sewer11Left,Sewer10Left,Done,
Sewer 11,Sewer11Left,Sewer10Right,Sewer11LowerRight | Sewer11UpperRight,Done,
Sewer 11,Sewer11LowerRight,Sewer15Left,(Sewer11Left | Sewer11UpperRight) + swim,Done,
Sewer 11,Sewer11UpperRight,Sewer14LowerLeft,(Sewer11Left | Sewer11LowerRight) + (double_jump | dodge | wall_grab) ,Done,
Sewer 12,Sewer12Lower,Sewer09UpperRight,Sewer12Upper + swim,Done,
Sewer 12,Sewer12Upper,Sewer03LowerCenter,Sewer12Lower + swim,Done,
Sewer 13,Sewer13Right,Sewer14CenterLeft,Sewer13Upper + swim,Done,
Sewer 13,Sewer13Upper,Sewer04Lower,Sewer13Right + swim,Done,
Sewer 14,Sewer14CenterLeft,Sewer13Right,"(Sewer14UpperLeft | Sewer14HiddenRight) + (dodge | wall_grab | double_jump | high_jump))
| (Sewer14LowerLeft + (double_jump | wall_grab | high_jump))",Done,
Sewer 14,Sewer14HiddenRight,Sewer17Left,(Sewer14CenterLeft | Sewer14UpperLeft | Sewer14LowerLeft) + (double_jump | high_jump | wall_grab),Done,
Sewer 14,Sewer14LowerLeft,Sewer11UpperRight,Sewer14CenterLeft | Sewer14HiddenRight | Sewer14UpperLeft,Done,
Sewer 14,Sewer14UpperLeft,Sewer04Right,(Sewer14CenterLeft | Sewer14HiddenRight | Sewer14LowerLeft) + (double_jump | high_jump | wall_grab),Done,
Sewer 15,Sewer15Left,Sewer11LowerRight,Sewer15Lower + (high_jump + (dodge | (double_jump + wall_grab)) | hook),Done,
Sewer 15,Sewer15Lower,Swamp18Upper,Sewer15Left + Sewer15Lower_Lever,Done,
Sewer 15,Sewer15Lower_Lever,,Sewer15Lower + (high_jump + (dodge | (double_jump + wall_grab)) | hook),Done,
Sewer 17,Sewer17Left,Sewer14HiddenRight,None,Done,
Slum 1,Slum01Left,Crossroad02Right,Slum01Right | Slow01Lower,Done,
Slum 1,Slum01Lower,Slum02Upper,Slum01Left | Slum01Right,Done,
Slum 1,Slum01Right,Street01Left,Slum01Left | Slum01Lower,Done,
Slum 2,Slum02Lower,Sewer01Upper,Slum02Upper + pile_attack,Done,
Slum 2,Slum02Upper,Slum01Lower,Slum02Lower + (double_jump | wall_grab | high_jump),Done,
Street 1,Street01Door,Street18Door,Street01Left | Street01Right,Done,
Street 1,Street01Left,Slum01Right,Street01Right | Street01Door,Done,
Street 1,Street01Right,Street06Left,Street01Left | Street01Door,Done,
Street 2,Street02Left,Street18Right,Street02Right,Done,
Street 2,Street02Left_Lever,,Street02Right,Done,
Street 2,Street02Right,Street04Left,Street02Left + Street02Left_Lever,Done,
Street 3,Street03Door,Street10Door,Street03Left | Street03UpperLeft,Done,
Street 3,Street03LowerLeft,Street05LowerRight,(Street03Door  | Street03UpperLeft) + Street05LowerRight_Lever,Done,
Street 3,Street03Right,Street11Left,(Street03Door | Street03UpperLeft | Street03LowerLeft) + key_lower,Done,
Street 3,Street03UpperLeft,Street05UpperRight,(Street03Door | Street03LowerLeft) + (double_jump + wall_grab | high_jump),Done,
Street 4,Street04Left,Street02Right,Street04Right + (double_jump | high_jump),Done,
Street 4,Street04Right,Street05Left,Street04Left,Done,
Street 5,Street05Left,Street04Right,Street05LowerRight | Street05UpperRight,Done,
Street 5,Street05LowerRight,Street03LowerLeft,Street05Left | Street05UpperRight,Done,
Street 5,Street05LowerRight_Lever,,Street05Left | Street05UpperRight,Done,
Street 5,Street05UpperRight,Street03UpperLeft,(Street05Left | Street05LowerRight) + (double_jump | high_jump),Done,
Street 6,Street06Left,Street01Right,Street06Right,Done,
Street 6,Street06Right,Street07CenterLeft,Street06Left,Done,
Street 7,Street07CenterLeft,Street06Right,(Street07LowerLeft | Street07LowerRight) + (double_jump | high_jump) | Street07HiddenLeft | Street07UpperRight ,Done,
Street 7,Street07HiddenLeft,Street21Right,"((Street07UpperRight | Street07LowerLeft | Street07LowerRight) + high_jump)
| (Street07UpperRight + (double_jump + dodge | WALL_DASH))
| ((Street07LowerLeft | Street07LowerRight) + (dodge + double_jump))",Done,
Street 7,Street07LowerLeft,Street20Right,Street07CenterLeft | Street07LowerRight | Street07UpperRight | Street07HiddenLeft,Done,
Street 7,Street07LowerRight,Street09Left,Street07CenterLeft | Street07UpperRight | Street07HiddenLeft | Street07LowerLeft,Done,
Street 7,Street07UpperRight,Street08Left,"((Street07LowerLeft | Street07LowerRight) + (double_jump | high_jump))
| Street07CenterLeft | Street07HiddenLeft",Done,
Street 8,Street08Left,Street07UpperRight,Street08Right,Done,
Street 8,Street08Right,Street10Left,Street08Left,Done,
Street 9,Street09Left,Street07LowerRight,Street09Upper,Done,
Street 9,Street09Upper,Street10Lower,Street09Left,Done,
Street 10,Street10Door,Street03Door,Street10Left | Street10Lower,Done,
Street 10,Street10Left,Street08Right,Street10Door | Street10Lower,Done,
Street 10,Street10Lower,Street09Upper,Street10Door | Street10Left,Done,
Street 11,Street11Left,Street03Right,Street11Right,Done,
Street 11,Street11Right,Street12Left,Street11Left,Done,
Street 11,Street11Upper,Center01Lower,(Street11Right | Street11Left) + EVT_ev_s_0180_StreetElevatorFix,Unsure,Elevator fix requires meeting all 3 attuners (Mine09Right | Mine09Upper) + (Swamp17Left + hook) + ((Quarry31Upper | Quarry31Right) + EVT_ev_s_e6050_Master_Defeat)
Street 12,Street12Door,Street13Door,Street12Left + (double_jump | high_jump | double_jump + WALL_DASH),Done,
Street 12,Street12Left,Street11Right,Street12LowerRight + (double_jump | high_jump | wall_grab) | Street12UpperRight,Done,
Street 12,Street12LowerRight,Street19LowerLeft,Street12UpperRight | Street12Left + (double_jump | high_jump),Done,
Street 12,Street12UpperRight,Street19UpperLeft,"((Street12Left | Street12LowerRight) + high_jump) 
| Street12Left + (double_jump + WALL_DASH) 
| Street12LowerRight + (high_jump |  (double_jump + dodge + wall_grab))",Done,
Street 13,Street13Door,Street12Door,(Street13LowerLeft | Street13LowerHidden | Street13LowerRight | Street13Left) + (double_jump | dodge | high_jump),Done,
Street 13,Street13Left,Street17Right,(Street13LowerLeft | Street13LowerHidden | Street13LowerRight | Street13Door) + (double_jump | dodge | high_jump),Done,
Street 13,Street13LowerHidden,Street14UpperHidden,((Street13LowerLeft | Street13Left) + (double_jump | high_jump | dodge)) | Street13LowerRight ,Done,
Street 13,Street13LowerLeft,Street14UpperLeft,"((Street13LowerHidden | Street13LowerRight) + (double_jump | high_jump | dodge))
| (Street13Left | Street13Door)",Done,
Street 13,Street13LowerRight,Street14UpperRight,"((Street13Left | Street13LowerLeft) + (double_jump | high_jump | dodge))
| (Street13Hidden | Street13Door)",Done,
Street 14,Street14Right,Street15Left,Street14UpperRight | Street14UpperLeft,Done,
Street 14,Street14UpperHidden,Street13LowerHidden,None,Done,
Street 14,Street14UpperLeft,Street13LowerLeft,Street14UpperRight | Street14Right,Done,
Street 14,Street14UpperRight,Street13LowerRight,Street14UpperLeft | Street14Right,Done,
Street 15,Street15Left,Street14Right,Street15Right,Done,
Street 15,Street15Right,Tower01Left,Street15Left,Done,
Street 17,Street17Right,Street13Left,None,Done,
Street 18,Street18Door,Street01Door,Street18Right,Done,
Street 18,Street18Right,Street02Left,Street18Door + Street02Left_Lever,Done,
Street 19,Street19LowerLeft,Street12LowerRight,None,Done,
Street 19,Street19UpperLeft,Street12UpperRight,None,Done,
Street 20,Street20Right,Street07LowerLeft,None,Done,
Street 21,Street21Right,Street07HiddenLeft,None,Done,
Summit 1,Summit01LowerLeft,Summit02LowerRight,None,Not Labbed,
Summit 1,Summit01RightDoor,Kowloon04LeftDoor,Summit01UpperLeft,Not Labbed,
Summit 1,Summit01UpperLeft,Summit02UpperRight,Summit01RightDoor,Not Labbed,
Summit 2,Summit02Left,Summit03Right,Summit02LowerRight | Summit02UpperRight,Not Labbed,
Summit 2,Summit02LowerRight,Summit01LowerLeft,Summit02UpperRight | Summit02Left,Not Labbed,
Summit 2,Summit02UpperRight,Summit01UpperLeft,(Summit02Left | Summit02LowerRight) + (high_jump | (double_jump + WALL_DASH),Not Labbed,
Summit 3,Summit03HiddenLeft,Summit04Right,(Summit03Right | Summit03UpperLeft) + (dodge | (wall_grab + (double_jump | wall_charge))),Not Labbed,
Summit 3,Summit03Right,Summit02Left,"Summit03UpperLeft 
| (Summit03HiddenLeft + (double_jump + dodge + (high_jump | wall_grab)) | WALL_DASH)",Not Labbed,
Summit 3,Summit03UpperLeft,Summit06Right,"(Summit03Right + (high_jump | double_jump | WALL_DASH) |(dodge + wall_grab)))
| (Summit03HiddenLeft + (double_jump + dodge + (high_jump | wall_grab)) | WALL_DASH)",Not Labbed,
Summit 4,Summit04Left,Summit05HiddenRight,Summit04Right + (double_jump + dodge + (high_jump | wall_grab)) | (double_jump + WALL_DASH),Not Labbed,
Summit 4,Summit04Right,Summit03HiddenLeft,Summit04Left + (double_jump + dodge + (high_jump | wall_grab)) | (double_jump + WALL_DASH),Not Labbed,
Summit 5,Summit05HiddenRight,Summit04Left,(Summit05UpperRight | Summit05Left) + (dodge | (wall_grab + (double_jump | wall_charge))),Not Labbed,
Summit 5,Summit05Left,Summit07Right,"Summit05UpperRight 
| (Summit05HiddenRight + (double_jump + dodge) | WALL_DASH)",Not Labbed,
Summit 5,Summit05UpperRight,Summit06Left,"(Summit05Left + (high_jump | double_jump | WALL_DASH) |(dodge + wall_grab)))
| (Summit05HiddenRight + (double_jump + dodge + (high_jump | wall_grab)) | WALL_DASH)",Not Labbed,
Summit 6,Summit06CenterDoor,Summit12LeftDoor,Summit06Right | Summit06Left,Not Labbed,
Summit 6,Summit06Left,Summit05UpperRight,Summit06Right | Summit06CenterDoor,Not Labbed,
Summit 6,Summit06Right,Summit03UpperLeft,Summit06Left | Summit06CenterDoor,Not Labbed,
Summit 7,Summit07LowerLeft,Summit08LowerRight,(Summit07UpperLeft | Summit07Right) + dive + Summit08LowerRight_Lever,Not Labbed,
Summit 7,Summit07Right,Summit05Left,(Summit07LowerLeft | Summit07UpperLeft) + dive,Not Labbed,
Summit 7,Summit07UpperLeft,Summit08UpperRighy,"Summit07LowerLeft 
| Summit07Right + dive",Not Labbed,
Summit 8,Summit08Left,Summit19CenterDoor,"Summit08LeftDoor 
| ((Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump)) 
| (Summit08LowerRight + dash_charge + (double_jump | dodge))",Not Labbed,
Summit 8,Summit08LeftDoor,Summit11CenterDoor,"Summit08Left 
| ((Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump)) 
| (Summit08LowerRight + dash_charge + (double_jump | dodge))",Not Labbed,
Summit 8,Summit08LowerRight,Summit07LowerLeft,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + dash_charge + double_jump,Not Labbed,
Summit 8,Summit08RightDoor,Summit15CenterDoor,"Summit08UpperRight 
| ((Summit08Left | Summit08LeftDoor) + (dodge | double_jump))
| (Summit08LowerRight + dash_charge + (dodge | double_jump))",Unsure,Can be reached from Summit19 using wall dash
Summit 8,Summit08UpperRight,Summit07UpperLeft,"Summit08RightDoor 
| ((Summit08Left | Summit08LeftDoor) + (dodge | double_jump))
| (Summit08LowerRight + dash_charge + (dodge | double_jump))",Unsure,Can be reached from Summit19 using wall dash
Summit 8,Summit08LowerRight_Lever,,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + dash_charge + double_jump,,
Summit 9,Summit09LowerLeft,Summit15HiddenRight,Summit09Right + dive + (high_jump | double_jump),Not Labbed,
Summit 9,Summit09Right,Summit14Left,Summit09Left + dive + (double_jump + wall_grab) | (high_jump + (dodge | double_jump)),Not Labbed,
Summit 9,Summit09UpperLeft,Summit15Right,None,Not Labbed,
Summit 10,Summit10Right,Summit11Left,None,Not Labbed,
Summit 11,Summit11CenterDoor,Summit08LeftDoor,Summit11Right | Summit11Left,Not Labbed,
Summit 11,Summit11Left,Summit10Right,Summit11Right | Summit11CenterDoor,Not Labbed,
Summit 11,Summit11Right,Summit16Left,Summit11Left | Summit11CenterDoor,Not Labbed,
Summit 12,Summit12LeftDoor,Summit06CenterDoor,"Summit12LowerLeft 
| ((Summit12Right | Summit12RightDoor) + (high_jump | wall_grab)",Not Labbed,
Summit 12,Summit12LowerLeft,Summit13LowerRight,"Summit12LeftDoor 
| ((Summit12Right | Summit12RightDoor) + (high_jump | wall_grab))",Not Labbed,
Summit 12,Summit12Right,Summit18Left,"Summit12RightDoor 
| ((Summit12LowerLeft | Summit12LeftDoor) + (high_jump | wall_grab))",Not Labbed,
Summit 12,Summit12RightDoor,Summit17CenterDoor,"Summit12Right 
| ((Summit12LowerLeft | Summit12LeftDoor) + (high_jump | wall_grab))",Not Labbed,
Summit 12,Summit12UpperLeft,Summit13UpperRight,(Summit12LowerLeft | Summit12LeftDoor | Summit12Right | Summit12RightDoor) + WALL_DASH,Not Labbed,
Summit 13,Summit13Left,Summit14Right,Summit13LowerRight + (high_jump | wall_grab | double_jump),Not Labbed,
Summit 13,Summit13LowerRight,Summit12LowerLeft,Summit13Left,Not Labbed,
Summit 13,Summit13UpperRight,Summit12UpperLeft,None,Not Labbed,
Summit 14,Summit14CenterDoor,Summit20CenterDoor,Summit14Left | Summit14Right,Not Labbed,
Summit 14,Summit14Left,Summit09Right,Summit14Right | Summit14CenterDoor,Not Labbed,
Summit 14,Summit14Right,Summit13Left,Summit14Left | Summit14CenterDoor,Not Labbed,
Summit 15,Summit15CenterDoor,Summit08RightDoor,"(Summit15HiddenRight | Center15Right) 
| (Summit15Left + Summit16Right_Lever)",Not Labbed,
Summit 15,Summit15HiddenRight,Summit09LowerLeft,((Summit15Right | Summit15CenterDoor | (Summit15Left + Summit16Right_Lever)) + (high_jump | (double_jump + wall_grab)),Not Labbed,
Summit 15,Summit15Left,Summit16Right,(Summit15Right | Summit15HiddenRight | Summit15CenterDoor) + Summit16Right_Lever,Not Labbed,
Summit 15,Summit15Right,Summit09UpperLeft,Summit15HiddenRight | Summit15CenterDoor | (Summit15Left + Summit16Right_Lever),Not Labbed,
Summit 16,Summit16CenterDoor,Summit24CenterDoor,Summit16Left + (high_jump | (double_jump + wall_grab)),Not Labbed,
Summit 16,Summit16Left,Summit11Right,Summit16Right | Summit16CenterDoor,Not Labbed,
Summit 16,Summit16Right,Summit15Left,Summit16CenterDoor,Not Labbed,
Summit 17,Summit17CenterDoor,Summit12RightDoor,Summit17LowerLeft ,Unsure,Can be reached from 17UpperLeft with a wall dash from23UpperRight but 23UpperRight can only be accessed from 17LowerLeft or 17CenterDoor
Summit 17,Summit17LowerLeft,Summit23LowerRight,Summit17CenterDoor,Not Labbed,
Summit 17,Summit17UpperLeft,Summit23UpperRight,(Summit17LowerLeft | Summit17CenterDoor) + (WALL_DASH + (hook + (double_jump | dodge))),Not Labbed,
Summit 18,Summit18Left,Summit12Right,None,Not Labbed,
Summit 19,Summit19CenterDoor,Labo18RightDoor,Summit19Right,Not Labbed,
Summit 19,Summit19Right,Summit08Left,Summit19CenterDoor,Not Labbed,
Summit 20,Summit20CenterDoor,Summit14CenterDoor,Summit20Upper,Not Labbed,
Summit 20,Summit20Upper,Summit21Lower,Summit20CenterDoor + Summit20Upper_Lever,Not Labbed,
Summit 20,Summit20Upper_Lever,,Summit20Upper,,
Summit 21,Summit21Left,Summit24LowerRight,Summit21Lower | Summit21Right + WALL_DASH,Unsure,Wall Dash needed to proceed through next transition
Summit 21,Summit21Lower,Summit20Upper,Summit21Left | Summit21Right,Not Labbed,
Summit 21,Summit21Right,Summit22LowerLeft,(Summit21Lower | Summit21Left) + (high_jump | wall_grab),Not Labbed,
Summit 22,Summit22CenterLeft,Summit25UpperRight,(Summit22CenterRight + Summit23UpperLeft) + WALL_DASH,In Progress,
Summit 22,Summit22CenterRight,Summit23CenterLeft,((Summit22UpperLeft | Summit22CenterLeft + Summit22UpperRight) + Summit23Upper_Lever) + (WALL_DASH | (double_jump + wall_grab)),In Progress,
Summit 22,Summit22LowerLeft,Summit21Right,Summit22UpperLeft,In Progress,
Summit 22,Summit22LowerRight,Summit23LowerLeft,(Summit22LowerLeft + Summit21Right) + WALL_DASH,In Progress,
Summit 22,Summit22UpperLeft,Summit24UpperRight,"Summit22LowerLeft + high_jump | double_jump + wall_grab
| Summit22UpperRight + WALL_DASH",In Progress,
Summit 22,Summit22UpperRight,Summit23UpperLeft,(Summit22UpperLeft + Summit25UpperRight) + WALL_DASH,In Progress,
Summit 23,Summit23CenterLeft,Summit22CenterRight,(Summit23LowerRight + Summit23Left_Lever) + high_jump | (wall_grab + double_jump + (dodge | wall_charge),Not Labbed,
Summit 23,Summit23LowerLeft,Summit22LowerRight,(Summit21Left | Summit21CenterDoor | Summit21Right) + WALL_DASH,Unsure,Dash from summit21
Summit 23,Summit23LowerRight,Summit17LowerLeft,(Summit23CenterLeft + Summit23Upper_Lever + Summit23Left_Lever),Not Labbed,
Summit 23,Summit23UpperLeft,Summit22UpperRight,None,Not Labbed,
Summit 23,Summit23UpperRight,Summit17UpperLeft,None,Not Labbed,
Summit 23,Summit23Upper_Lever,,(Summit23LowerRight + Summit23Left_Lever) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)),,
Summit 23,Summit23Left_Lever,,(Summit21Left | Summit21CenterDoor | Summit21Right) + WALL_DASH,Unsure,Dash from summit21
