Room,Name,Actor,Item,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Quarry 4,Quarry 4 - Grimoire,Quarry_001_Zone_004.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",Quarry04Left + (high_jump | wall_grab | double_jump | snow | moon | axe + dodge | STALL + grav),Done,,Finished,FLOWER2 + leg enhancement relic...,
Quarry 5,Quarry 5 - Materials,Quarry_001_Zone_005.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Quarry05Lower,Unsure,,N/A,"TODO? Prob not – skipping for same reason in comment section; if you can enter the room, you can get the item",
Quarry 7,Quarry 7 - Survey Team Gauntlet,Quarry_001_Zone_007.BP_Interactable_AddItem_C_1,"passives[""debuff_damage_up_a_1""]","(Quarry07Upper | Quarry07Lower | Quarry07Left) 
+ (snow | high_jump | WALL_DASH + (double_jump | moon | STALL) | moon + (double_jump | dodge | grav + lazer | STALL) | flower + (double_jump | dodge | STALL | grav) | STALL + (double_jump | dodge) | (scythe | axe) + grav + lazer | double_jump + dodge)
| Quarry10UpperRight + WALL_DASH",Unsure,"Currently marked as Unsure due to 2 factors:
We can add Quarry07Right + dash_charge if we want, currently it is left out. it is a little moot either way since its a dead end.

There is a WALL_DASH option from Quarry10UpperRight, which is an interesting option!

If we decide to remove Quarry10 WALL_DASH, can delete, then can be marked as Done. If good, can mark as Done.",Finished,"Clean logic!

snow | high_jump
WALL_DASH + (double_jump | moon | STALL)
moon + (double_jump | dodge | grav + ReiBlast | STALL)
flower + (double_jump | dodge | STALL | grav)
STALL + (double_jump | dodge)
(scythe | axe) + grav + ReiBlast
double_jump + dodge",double check lazer -> REIBOLG
Quarry 10,Quarry 10 - New Model Core,Quarry_001_Zone_010.BP_Interactable_AddItem_C_1,"materials[""parts_lv4_a""]","Quarry10UpperRight + (high_jump | double_jump | wall_grab + (dodge | STALL | lazer | flower | wall_charge) | moon | snow | STALL + (flower | dodge) | (flower | lazer) + grav)
| Quarry10HiddenRight + (high_jump | double_jump | wall_grab + (dodge | wall_charge | lazer + grav | STALL | flower) | (flower | STALL) + dodge | moon | snow | (STALL | grav) + flower)
| Quarry10Lower + (high_jump | double_jump | wall_grab + (dodge | lazer + grav | STALL | flower) | (flower | STALL) + dodge | moon | snow | (STALL | grav) + flower)",Done,,Finished,,double check lazer -> REIBOLG
Quarry 11,Quarry 11 - Materials,Quarry_001_Zone_011.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Quarry11Left,Unsure,not sure why I put none here,N/A,,
Quarry 14,Quarry 14 - Magic Vial,Quarry_001_Zone_014.BP_Interactable_AddItem_C_1,"stats[""passive_slot_s""]",(Quarry14Upper | Quarry14Right) + double_jump + dash_charge,Done,,N/A,,
Quarry 15,Quarry 15 - Depths Survey Record,Quarry_001_Zone_015.BP_Interactable_AddItem_C_1,"tips[""tip_lowestrecord_01""]","Quarry15Upper 
| (Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + (wall_grab + (double_jump | moon | snow | STALL | FLOWER2) | high_jump + (wall_grab + (dodge | flower | wall_charge) | snow | double_jump + (moon | STALL + grav | dodge + (STALL | FLOWER2)) | STALL + grav + (moon | dodge)))",Done,"this is same as 179 (2 down)

double_jump + wall_grab feels close to frame perfect, its annoyingly difficult. You need to input left on keyboard/control stick BEFORE hitting jump",Finished,,
Quarry 15,Quarry 15 - Charmed Fragment,Quarry_001_Zone_015.BP_Interactable_AddItem_C_3,"stats[""hp_up_s""]",(Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + (wall_grab + (double_jump | dodge | RONIN | STALL | wall_charge) | high_jump + (snow | double_jump + (moon | STALL + grav | dodge + (STALL | FLOWER2)) | STALL + grav + (moon | dodge))),Done,This is an easier version of 177/179; the minimum requirements to reach the area just below the lever,Finished,,
Quarry 15,Quarry 15 - Krios,Quarry_001_Zone_015.BP_Interactable_TreasureBox_C_1,"assists[""assist_001""]","Quarry15Upper 
| (Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + (wall_grab + (double_jump | moon | snow | STALL | FLOWER2) | high_jump + (wall_grab + (dodge | flower | wall_charge) | snow | double_jump + (moon | STALL + grav | dodge + (STALL | FLOWER2)) | STALL + grav + (moon | dodge)))",Done,"this is same as 177 (2 above)

double_jump + wall_grab feels close to frame perfect, its annoyingly difficult. You need to input left on keyboard/control stick BEFORE hitting jump",Finished,,
Quarry 16,Quarry 16 - Materials,Quarry_001_Zone_016.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Quarry16Right,Done,,N/A,,
Quarry 17,Quarry 17 - Materials,Quarry_001_Zone_017.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Quarry17Right,Done,,N/A,,
Quarry 18,Quarry 18 - Blighted Talisman,Quarry_001_Zone_018.BP_Interactable_AddItem_C_1,"passives[""stamina_damage_up_a_1""]","Quarry18Upper + (high_jump | wall_grab + (double_jump | dodge | wall_charge | STALL | RONIN | lazer) | double_jump + (STALL | dodge | lazer) | (axe | scythe) + grav | STALL + (dodge | RONIN) | (double_jump | dodge) + RONIN | lazer + (RONIN | grav)) 
| (Quarry18LowerLeft | Quarry18HiddenLeft) + (high_jump | wall_grab + (double_jump | dodge | wall_charge | STALL | RONIN | lazer) | double_jump + (STALL | dodge | lazer) | (axe | scythe) + grav | sword + grav + (dodge | lazer | RONIN))",Done,Might need to revisit this one - double_jump + sprint & dodge roll is sufficient,Finished,,"double check lazer -> REIBOLG

there is probably a mix if not all REIBOLG"
Quarry 21,Quarry 21 - Unidentified Core,Quarry_001_Zone_021.BP_Interactable_AddItem_C_1,"materials[""parts_s5000_a""]","Quarry21Lower + (high_jump + (double_jump | dodge | STALL | REIBOLG | RONIN | WALL_DASH) | double_jump + (dodge | STALL | RONIN | WALL_DASH) | axe + flower | STALL + (grav | wall_grab + dodge) | (snow | moon | flower + grav) + dodge | (moon | snow) + STALL)
| Quarry21Right + (high_jump | double_jump + (dodge | WALL_DASH) | snow | moon | (flower | STALL) + (grav | double_jump) | STALL + flower)",Done,,Finished,,double check REIBOLG
Quarry 21,Quarry 21 - Jagged Crystal,Quarry_001_Zone_021.BP_Interactable_AddItem_C_2,"passives[""damage_up_minhp_1""]","Quarry21Lower + (high_jump + (double_jump | dodge | STALL | REIBOLG | RONIN | WALL_DASH) | wall_grab + (double_jump + (dodge | STALL | RONIN | wall_charge) | axe + flower | STALL + (grav | dodge) | (snow | moon | flower + grav) + dodge | (moon | snow) + STALL))
| Quarry21Right + (high_jump | wall_grab + (double_jump + (dodge | wall_charge) | snow | moon | (flower | STALL) + (grav | double_jump) | STALL + flower))",Done,,Finished,,double check REIBOLG
Quarry 24,Quarry 24 - Materials,Quarry_001_Zone_024.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Quarry24Upper,Done,,N/A,,
Quarry 31,Quarry 31 - Lars' Grip,Quarry_001_Zone_031.EVT_ev_s_n7043_Quarry_Tuner,"aptitudes[""wall_grab""]",Quarry31Upper | Quarry31Right,Done,,N/A,,
Roots 1,Roots 1 - Reibolg 1,Roots_001_Zone_001.EVT_ev_s_e5012_RootsLancer_Defeat,"spirits[""s5010_lancer""]",Roots01Left,Done,,N/A,,
Roots 1,Roots 1 - Reibolg 2,Roots_001_Zone_001.EVT_ev_s_e5012_RootsLancer_Defeat.1,"quests[""quest_eye""]",Roots01Left,Done,,N/A,,
Roots 2,Roots 2 - Lilia's Blighted Ring,Roots_001_Zone_002.EVT_ev_s_FinalRelic,"passives[""ending_flag""]",Roots02Right + quest_amulet,Unsure,"are we going to be using the same requirements for ending b (need Blighted eye and stele to get curio from Lily to get Blighted Ring from Lilia, or will curio and Blighted Ring be shuffled???",N/A,,
Roots 2,Roots 2 - White Priestess' Attire,Roots_001_Zone_002.EVT_ev_s_FinalRelic.1,"costumes[""p0050""]",Roots02Right + quest_amulet,Done,,N/A,,
Roots 5,Roots 5 - Stele of the Land of Origin,Roots_001_Zone_005.EVT_ev_n_Levy_Treasure6_001,"quests[""quest_lithograph""]",Roots05Upper | Roots05Right,Done,,N/A,,
Roots 6,Roots 6 - Charmed Fragment,Roots_001_Zone_006.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",Roots06Right + pile_attack + (wall_grab | high_jump | axe + (dodge + moon | snow) + double_jump | (scythe | sword) + dodge + snow + double_jump | (scythe | sword) + grav + double_jump + (RONIN | dodge) | axe + grav + double_jump + (dodge | flower | moon) | STALL + grav + dodge + snow),Done,"Same logic as below; if you update one, just prob update both

There might be better logical grouping/writing, but yeah... axe is currently separated since it has a couple of unique use cases ",Finished,,
Roots 6,Roots 6 - Origin Gem Core,Roots_001_Zone_006.BP_Interactable_AddItem_C_3,"materials[""parts_lv6_a""]",Roots06Right + pile_attack + dash_charge + (wall_grab | high_jump | axe + (dodge + moon | snow) + double_jump | (scythe | sword) + dodge + snow + double_jump | (scythe | sword) + grav + double_jump + (RONIN | dodge) | axe + grav + double_jump + (dodge | flower | moon) | STALL + grav + dodge + snow),Done,"Same logic as above; if you update one, just prob update both",Finished,,
Roots 8,Roots 8 - Charmed Ore,Roots_001_Zone_008.BP_Interactable_AddItem_C_1,"stats[""hp_up_l""]",Roots08Left + (wall_grab | high_jump | snow | dodge + double_jump | (dodge | double_jump) + (STALL | lazer + grav | moon | flower) | STALL + (moon | flower | lazer + grav)),Done,,Finished,,double check lazer -> REIBOLG
Roots 9,Roots 9 - Materials,Roots_001_Zone_009.BP_Interactable_TreasureBox_C_1,"currencies[""Default""]",Roots09Lower,Done,,N/A,,
Roots 11,Roots 11 - Blighted Prophecy,Roots_001_Zone_011.BP_Interactable_AddItem_C_1,"tips[""tip_prophecybook_01""]",Roots11Right | Roots11HiddenUpper,Done,,N/A,,
Roots 12,Roots 12 - Typhon,Roots_001_Zone_012.BP_Interactable_AddItem_C_1,"assists[""assist_010""]",Roots09Right + WALL_DASH + (double_jump | high_jump | STALL | moon | snow | flower + grav),Unsure,"Friendly reminder, this is actually for the Roots12 Item

Needs access to Roots09 for WALL_DASH

I had a dash_charge + dodge scenario - it does work, not sure if we want to add it; if not considering base game state, the dash_charge walls should technically already be broken if able to approach from Roots09Right, so it would more simply be just 'dodge'",Finished,,
Roots 17,Roots 17 - Joran's Notes 1,Roots_001_Zone_017.BP_Interactable_AddItem_C_1,"tips[""tip_yoransdiary_01""]","Roots17Left 
| Roots17Right + (STALL + double_jump + (snow | dodge) | STALL + snow + dodge | double_jump + dodge + (snow | moon) | STALL + grav + (dodge + (moon | flower) | lazer + snow | double_jump + (lazer | moon | flower)) | hook + (dodge | double_jump | STALL | RONIN | lazer + grav))",Done,,Finished,,"double check lazer -> REIBOLG ; esp the hook

May need to verify ReiBlast Blast"
Roots 18,Roots 18 - Joran's Notes 2,Roots_001_Zone_018.BP_Interactable_AddItem_C_0,"tips[""tip_yoransdiary_02""]","Roots18UpperRight 
| Roots18LowerRight + (high_jump | double_jump + (STALL | dodge | lazer | RONIN) | axe + (dodge + (wall_grab | lazer) | grav) | (sword | scythe) + (grav | wall_grab + (lazer | dodge)) | wall_grab + (lazer + (axe | dodge) | RONIN))",Done,"I was able to do with just axe + dodge , it might have due to lag / frame changes; added ReiBlast for consistency

There are definitely more RONIN options - but they require cooldown to be able to be used without the platforms disappearing, or maybe with potential STALLing

double_jump + grav + leg enhancement gear LUL",Finished,,double check lazer -> REIBOLG ; esp double jump
Roots 20,Roots 20 - Primordial Heirloom,Roots_001_Zone_020.BP_Interactable_TreasureBox_C_0,"equipments[""shield_008""]",Roots20Lower + (high_jump + (axe | scythe | sword + (REIBOLG | RONIN)) + grav + double_jump + dodge | wall_grab + (double_jump + (dodge | wall_charge | high_jump) | moon | snow | (high_jump | FLOWER2) + dodge | STALL + (double_jump | grav))),Done,"Non-wall_grab logic uses the fact that falling onto the slope resets STALL/double_jump/dodge

Aside from sword, there isnt any RONIN + high_jump; without cd relics and/or ReiBlast STALLing, it isnt fast enough to replace double_jump | dodge",Finished,,double check REIBOLG
Roots 22,Roots 22 - Abelia's Ring,Roots_001_Zone_022.BP_Interactable_TreasureBox_C_1,"passives[""onattack_instantkill_1""]",Roots22Upper,Done,,N/A,,
Roots 23,Roots 23 - Origin Gem Core,Roots_001_Zone_023.BP_Interactable_AddItem_C_0,"materials[""parts_lv6_a""]",Roots23Left + (wall_grab + (double_jump + dodge + (axe | scythe | lazer + grav | sword + (moon | snow | grav)) | STALL + grav + (moon | snow | lazer) + (double_jump | dodge) | snow + lazer + grav) | WALL_DASH + (double_jump + dodge | STALL + ((flower | dodge) + grav | double_jump | moon | snow))),Unsure,"snow + ReiBlast + grav + (STALL | double_jump | dodge)

cd relic also helps with the above

do we want this type of logic (the above is a scenario with NO wall_grab requirement? requires multiple uses of snow. again, its just a bit excessive? its not hard...

If we want to add this logic, then add the above logic and mark as done. if not, mark as done as is.",Finished,,double check lazer -> REIBOLG
Roots 27,Roots 27 - Ancient's Fury,Roots_001_Zone_027.BP_Interactable_TreasureBox_C_0,"equipments[""armor_020""]",Roots27Lower + TORRENT + assist_012,Unsure,This is that horrible swim section that needs a bunch of healing charms and totems. Can be done with just Cetus totem,N/A,,
Roots 28,Roots 28 - Origin Gem Core,Roots_001_Zone_028.BP_Interactable_AddItem_C_0,"materials[""parts_lv6_a""]",Roots28Lower + TORRENT,Done,,N/A,,
Roots 29,Roots 29 - Charmed Ore,Roots_001_Zone_029.BP_Interactable_AddItem_C_0,"stats[""hp_up_l""]",Roots29Upper + TORRENT + dash_charge,Done,,N/A,,
Roots 30,Roots 30 - Unidentified Amplifier,Roots_001_Zone_030.BP_Interactable_AddItem_C_0,"materials[""parts_s5000_b""]",Roots30Right,Done,,N/A,,
Ruins 4,Ruins 4 - Nola,Ruins_001_Zone_004.EVT_ev_s_0020_NoraMeeting,"spirits[""s5000_reaper""]",Ruins04LowerLeft | Ruins04UpperLeft,Done,we assume we spawn with a weapon that break walls,N/A,,
Ruins 5,Ruins 5 - Charmed Fragment,Ruins_001_Zone_005.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",(Ruins05Left | Ruins05Right) + dash_charge + double_jump,Done,"SKIPPING - unless there is some tech im not aware of, no updates required",N/A,,
Ruins 12,Ruins 12 - Subterranean Testing Site Key,Ruins_001_Zone_012.BP_Interactable_AddItem_Skill_C_0,"keys[""key_ruins_tuto""]",Ruins12Right,Done,,N/A,,
Ruins 12,Ruins 12 - Lito,Ruins_001_Zone_012.EVT_ev_s_e5030_Rogue_Defeat,"spirits[""s5030_rogue""]",Ruins12Right,Done,,N/A,,
Ruins 13,Ruins 13 - Homunculus Research Log 1,Ruins_001_Zone_013.BP_Interactable_AddItem_C_1,"tips[""tip_homunculusrecord_01""]",Ruins13Left | Ruins13Upper,Done,,N/A,,
Ruins 14,Ruins 14 - Worn Experiment Log,Ruins_001_Zone_014.BP_Interactable_AddItem_C_1,"tips[""tip_ruinsrecords_01""]",Ruins14Right,Done,,N/A,,
Ruins 15,Ruins 15 - Healing Ward,Ruins_001_Zone_015.EVT_ev_s_0015_GetHeal,"aptitudes[""heal""]",Ruins15Left | Ruins15Right,Done,,N/A,,
Sewer 1,Sewer 1 - Corroded Warning Sign,Sewer_001_Zone_001.BP_Interactable_AddItem_C_0,"tips[""tip_corrosionboard_01""]",Sewer01Upper | Sewer01Right,Done,,N/A,,
Sewer 2,Sewer 2 - Grimoire,Sewer_001_Zone_002.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]","Sewer02UpperLeft | 
((Sewer02LowerLeft | Sewer02Lower) + dive)",Done,,N/A,,
Sewer 4,Sewer 4 - Materials,Sewer_001_Zone_004.BP_Interactable_AddItem_C_1,"currencies[""Default""]",(Sewer04Upper | Sewer04Left | Sewer04Right | Sewer04Lower) + (double_jump | dodge | RONIN | STALL | REIBOLG + grav),Done,,Finished,,double check REIBOLG
Sewer 5,Sewer 5 - Materials,Sewer_001_Zone_005.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Sewer05Right,Done,,N/A,,
Sewer 8,Sewer 8 - Eye of the Beast,Sewer_001_Zone_008.BP_Interactable_AddItem_C_0,"passives[""gold_up_1""]",(Sewer08Left | Sewer08Lower) + (high_jump | wall_grab | (STALL | dodge) + snow | STALL + dodge + (grav | moon) | double_jump + (dodge | RONIN | STALL)),Unsure,"this one is a question of ""how janky"" do we want the logic to be.

All the suggested logic has been tested, just not exactly user friendly / can be slightly frustrating.

I would recommend testing these scenarios (I can demo/record them as well), to see what we want to keep / remove.

If we want to keep everything, then can mark as Done. Otherwise, remove what we want and mark as Done.",Finished,"for Dodge + snow : snow as high as possible into the waterfall, spam dodge into the waterfall until snow off cd, then snow + dodge to item
dodge + moon + STALL very similar to above",
Sewer 9,Sewer 9 - Magic Strand Charm,Sewer_001_Zone_009.BP_Interactable_AddItem_C_0,"passives[""damage_up_maxhp_1""]","(Sewer09UpperRight | Sewer09Right | Sewer09UpperLeft) + (hook | STALL + double_jump + wall_grab + (snow | flower | dodge + moon) | (axe | scythe) + double_jump + grav + (dodge | moon | snow | lazer + wall_grab) | axe + grav + snow + wall_grab + lazer | scythe + wall_grab + grav + (lazer | dodge) + snow | sword + wall_grab + double_jump + grav + (dodge | moon | lazer) | sword + double_jump + dodge + grav + RONIN)
| Sewer09Left",Done,"Logic is based on the using the slide as starting point (so double jump or whatever, get onto the slide, and immediately begin STALL when having control again)",Finished,Can probably revisit this and better group / organize the logic - might find gaps,double check lazer -> REIBOLG ; esp the hook
Sewer 9,Sewer 9 - Materials,Sewer_001_Zone_009.BP_Interactable_AddItem_C_2,"currencies[""Default""]",(Sewer09Left | Sewer09UpperLeft | Sewer09UpperRight | Sewer09Right) + dive,Done,,N/A,,
Sewer 10,Sewer 10 - Blighted Note,Sewer_001_Zone_010.EVT_ev_s_0090_Sewer001,"tips[""tip_disposaljournal_01""]","Sewer10Left 
| Sewer10Right + (double_jump | high_jump | WALL_DASH | RONIN | REIBOLG | STALL + (grav | dodge))",Done,"TECHNICALLY its possible to get the height to grab the platform with just scythe | sword, but it feels very inconsistent (attacking into the corner of the wall for that tiny bit of extra height from being pushed)

Excluded that sort of logic.",Finished,,double check REIBOLG
Sewer 10,Sewer 10 - Dive,Sewer_001_Zone_010.EVT_ev_s_0090_Sewer001.1,"aptitudes[""dive""]","Sewer10Left 
| Sewer10Right + (double_jump | high_jump | WALL_DASH | RONIN | REIBOLG | STALL + (grav | dodge))",Done,same as above,Finished,,double check REIBOLG
Sewer 11,Sewer 11 - Charmed Fragment,Sewer_001_Zone_011.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]","(Sewer11Left | Sewer11UpperRight | Sewer11LowerRight) 
+ (high_jump | hook + (double_jump | dodge | STALL | RONIN | REIBOLG) | double_jump + dodge + (scythe | axe | sword + (grav | RONIN)) | double_jump + STALL + grav + snow | double_jump + (axe | scythe) + grav + (moon | flower) | WALL_DASH + (snow | double_jump + (moon | STALL) | STALL + grav + dodge | grav + moon))",Done,,Finished,,double check REIBOLG
Sewer 12,Sewer 12 - Attuner's Pendant,Sewer_001_Zone_012.BP_Interactable_AddItem_C_0,"passives[""damage_up_swimming_1""]",(Sewer12Lower | Sewer12Upper) + dive,Done,,N/A,,
Sewer 13,Sewer 13 - Unidentified Core,Sewer_001_Zone_013.BP_Interactable_AddItem_C_0,"materials[""parts_s5000_a""]",(Sewer13Upper | Sewer13Right) + dive,Done,,N/A,,
Sewer 15,Sewer 15 - Charmed Fragment,Sewer_001_Zone_015.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]","Sewer15Left | 
Sewer15Lower + (hook | high_jump + (dodge | double_jump | STALL | RONIN | REIBOLG) | wall_grab + (axe + dodge + (grav + snow | double_jump + (moon | snow)) | STALL + grav + double_jump + (moon | snow | dodge)))",Done,,Finished,,
Sewer 17,Sewer 17 - Chloe's Bracelet,Sewer_001_Zone_017.BP_Interactable_TreasureBox_C_0,"equipments[""armor_007""]",Sewer17Left,Done,,N/A,,
Slum 1,Slum 1 - Tattered Letter,Slum_001_Zone_001.BP_Interactable_AddItem_C_1,"tips[""tip_tunerletter_01""]",Slum01Left | Slum01Right | Slum01Lower,Done,,N/A,,
Slum 1,Slum 1 - Eye of the Homunculus,Slum_001_Zone_001.BP_Interactable_AddItem_C_2,"passives[""junk_up_1""]",(Slum01Left | Slum01Lower | Slum01Right) + (high_jump | hook + (double_jump | dodge | STALL | RONIN | REIBOLG) | STALL + grav + double_jump + dodge | axe + double_jump + dodge + (snow | moon + lazer)),Done,"sword is pretty hard to reach (with grav + double_jump + dodge), but doable",Finished,,double check lazer -> REIBOLG & REIBOLG hook
Slum 1,Slum 1 - Charmed Ore,Slum_001_Zone_001.EVT_ev_n_Levy_Treasure1_002,"stats[""hp_up_l""]",(Slum01Left | Slum01Right | Slum01Lower) + quest_artifact + EVT_ev_s_e0122_Wheeler_Defeat,Unsure,Requires Blighted Mineral + defeating Miner Unit in Mines04,N/A,,
Slum 1,Slum 1 - Levy's Mantle,Slum_001_Zone_001.EVT_ev_n_Levy_Treasure4_002,"costumes[""p0040""]",(Slum01Left | Slum01Right | Slum01Lower) + quest_board,Done,,N/A,,
Slum 1,Slum 1 - Fast Travel,Slum_001_Zone_001.EVT_ev_s_0070_GordonReport,"aptitudes[""fast_travel""]",(Slum01Left | Slum01Right | Slum01Lower) + EVT_ev_s_e5110_Gunman_Defeat,Unsure,are we going to require finding yolvan homuncli for Gordon report or defeating calidrius (boss yolvan)??,N/A,,
Slum 1,Slum 1 - Lower Stratum Key,Slum_001_Zone_001.EVT_ev_s_0070_GordonReport.1,"keys[""key_lower""]",(Slum01Left | Slum01Right | Slum01Lower) + EVT_ev_s_e5110_Gunman_Defeat,Done,,N/A,,
Slum 2,Slum 2 - Charmed Fragment,Slum_001_Zone_002.BP_Breakable_SpawnItem_Box_01_C_1,"stats[""hp_up_s""]",Slum02Upper,Done,,N/A,,
Street 2,Street 2 - Worries of a Sorcerer,Street_001_Zone_002.BP_Interactable_AddItem_C_0,"tips[""tip_painting_01""]","Street02Right 
| (Street02Left + Street02Left_Lever)",Done,,N/A,,
Street 3,Street 3 - Sanguinary Raven,Street_001_Zone_003.BP_Interactable_AddItem_C_0,"passives[""damage_up_airborne_1""]","(Street03LowerLeft + Street05LowerRight_Lever | Street03Right + key_lower | Street03Door) + (high_jump | double_jump | RONIN | STALL + (dodge | lazer | grav) | lazer + (dodge | grav)) 
| Street03UpperLeft + (high_jump | dodge | double_jump | RONIN | STALL | lazer + grav)
| Street05UpperRight + WALL_DASH",Unsure,"Either remove LowerLeft or add LowerRight_Lever? (currently added)
Same with Street03Right , needs a key or delete?

Update based on above clarifications.",Finished,,double check lazer -> REIBOLG
Street 4,Street 4 - Yolvan,Street_001_Zone_004.EVT_ev_s_e5110_Gunman_Defeat,"spirits[""s5110_gunman""]",Street04Left | Street04Right,Done,,N/A,,
Street 8,Street 8 - Charmed Fragment,Street_001_Zone_008.BP_Breakable_SpawnItem_Box_01_C_1,"stats[""hp_up_s""]",Street08Left | Street08Right,Done,,N/A,,
Street 9,Street 9 - Materials,Street_001_Zone_009.BP_Interactable_AddItem_C_1,"currencies[""Default""]",Street09Left | Street09Upper,Done,,N/A,,
Street 12,Street 12 - Attuner's Earrings,Street_001_Zone_012.BP_Interactable_AddItem_C_0,"passives[""onkill_restoresp_1""]","Street12Left + (high_jump | wall_grab + (double_jump | moon | snow | FLOWER2 | STALL + (dodge | lazer | flower | grav)) | (scythe | axe) + (grav | snow) + double_jump + dodge | sword + grav + double_jump + dodge + (lazer | RONIN)) 
| (Street12Door | Street12UpperRight | Street12LowerRight) + (high_jump | wall_grab + (double_jump | STALL | moon | snow | FLOWER2) | (scythe | axe) + (grav | snow) + double_jump + dodge | sword + grav + double_jump + dodge + (lazer | RONIN))
| Street19UpperLeft + WALL_DASH",Done,"Apparently I had a comment that: sword + grav + double_jump + dodge also works easily?? Havent been able to find that.

There might be an axe + grav + snow + double_jump + REIBOLG - but it probably requires using snow twice sorta deal.",Finished,,double check lazer -> REIBOLG
Street 14,Street 14 - Crimson Ribbon,Street_001_Zone_014.BP_Interactable_AddItem_C_1,"passives[""debuff_cut_burn_1""]",Street14UpperHidden,Done,,N/A,,
Street 14,Street 14 - Homunculus Expedition Report,Street_001_Zone_014.BP_Interactable_AddTutorial_C_1,"tips[""tip_searchrecord_01""]",Street14Right | Street14UpperRight | Street14UpperLeft,Done,,N/A,,
Street 17,Street 17 - City Stratum Guard,Street_001_Zone_017.EVT_ev_s_e0030_Guard_Defeat,"materials[""parts_s5000_c""]",Street17Right,Done,,N/A,,
Street 18,Street 18 - Materials,Street_001_Zone_018.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Street18Right + Street02Left_Lever | Street18Door,Done,,N/A,,
Street 18,Street 18 - Charmed Fragment,Street_001_Zone_018.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",(Street18Right + Street02Left_Lever | Street18Door) + (high_jump | wall_grab + (double_jump | snow | moon | STALL | FLOWER2 | wall_charge) | axe + grav + double_jump + dodge + snow),Done,,Finished,,
Street 19,Street 19 - Charmed Fragment,Street_001_Zone_019.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Street19UpperLeft,Done,,N/A,,
Street 19,Street 19 - Broken Warning Sign,Street_001_Zone_019.BP_Interactable_AddItem_C_1,"tips[""tip_tornletter_01""]",Street19LowerLeft,Done,,N/A,,
Street 20,Street 20 - Tavern Bulletin Board,Street_001_Zone_020.BP_Interactable_AddItem_C_0,"tips[""tip_townboard_01""]",Street20Right,Done,,N/A,,
Street 21,Street 21 - Materials,Street_001_Zone_021.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Street21Right,Done,,N/A,,
Summit 1,Summit 1 - Upper Stratum Communication Device,Summit_001_Zone_001.BP_Interactable_AddItem_C_1,"tips[""tip_upperterminal_01""]",Summit01LowerLeft,Done,,N/A,,
Summit 4,Summit 4 - Administrator's Amplifier,Summit_001_Zone_004.BP_Interactable_AddItem_C_0,"materials[""parts_lv6_b""]","Summit04Right + (dodge + high_jump | double_jump + (high_jump | WALL_DASH) | double_jump + dodge + wall_grab | moon + (wall_grab | double_jump | STALL + grav) | snow | high_jump + (STALL | lazer | flower | moon) | axe + double_jump | (sword | scythe) + double_jump + (dodge | grav | flower) | STALL + dodge + (moon | flower) | STALL + grav + wall_grab | axe + wall_grab + dodge | flower + wall_grab + (grav | double_jump))
| Summit04Left + (dodge + high_jump | double_jump + WALL_DASH | double_jump + dodge + wall_grab | moon + (wall_grab | double_jump | STALL + grav) | snow | high_jump + (STALL | lazer | flower | moon) | axe + double_jump | (sword | scythe) + double_jump + (dodge | grav | flower) | STALL + dodge + (moon | flower) | STALL + grav + wall_grab | axe + wall_grab + dodge | flower + wall_grab + (grav | double_jump))",Done,"Added to both (it looks like more than it is): 
moon + (wall_grab | double_jump | STALL + grav) 
| snow 
| high_jump + (STALL | ReiBlast | flower | moon) 
| axe + double_jump 
| (sword | scythe) + double_jump + (dodge | grav | flower) 
| STALL + dodge + (moon | flower) 
| STALL + grav + wall_grab 
| axe + wall_grab + dodge 
| flower + wall_grab + (grav | double_jump)",Finished,,double check lazer -> REIBOLG
