Room,Door,Lead to,Logic,Status,Notes,,Original (before Aloha edits),Final Logic ?
Sewer 12,Sewer12Lower,Sewer09UpperRight,Sewer12Upper + dive,Done,,,,Sewer12Upper + dive
Sewer 12,Sewer12Upper,Sewer03LowerCenter,Sewer12Lower + dive,Done,,,,Sewer12Lower + dive
Sewer 13,Sewer13Right,Sewer14CenterLeft,Sewer13Upper + dive,Done,,,,Sewer13Upper + dive
Sewer 13,Sewer13Upper,Sewer04Lower,Sewer13Right + dive,Done,,,,Sewer13Right + dive
Sewer 14,Sewer14CenterLeft,Sewer13Right,"(Sewer14UpperLeft | Sewer14HiddenRight) + (dodge | wall_grab | double_jump | high_jump)
| (Sewer14LowerLeft + (double_jump | wall_grab | high_jump))",Done,,,,"(Sewer14UpperLeft | Sewer14HiddenRight) + (dodge | wall_grab | double_jump | high_jump)
| (Sewer14LowerLeft + (double_jump | wall_grab | high_jump))"
Sewer 14,Sewer14HiddenRight,Sewer17Left,(Sewer14CenterLeft | Sewer14UpperLeft | Sewer14LowerLeft) + (double_jump | high_jump | wall_grab),Done,,,,(Sewer14CenterLeft | Sewer14UpperLeft | Sewer14LowerLeft) + (double_jump | high_jump | wall_grab)
Sewer 14,Sewer14LowerLeft,Sewer11UpperRight,Sewer14CenterLeft | Sewer14HiddenRight | Sewer14UpperLeft,Done,,,,Sewer14CenterLeft | Sewer14HiddenRight | Sewer14UpperLeft
Sewer 14,Sewer14UpperLeft,Sewer04Right,(Sewer14CenterLeft | Sewer14HiddenRight | Sewer14LowerLeft) + (double_jump | (high_jump + dodge) | WALL_DASH),Done,I dont think high_jump or wall_grab are enough by themselves,,(Sewer14CenterLeft | Sewer14HiddenRight | Sewer14LowerLeft) + (double_jump | high_jump | wall_grab),(Sewer14CenterLeft | Sewer14HiddenRight | Sewer14LowerLeft) + (double_jump | (high_jump + dodge) | WALL_DASH)
Sewer 15,Sewer15Left,Sewer11LowerRight,Sewer15Lower + (high_jump + (dodge | (double_jump + wall_grab)) | hook),Done,,,,Sewer15Lower + dive + (hook | high_jump + (dodge | double_jump + wall_grab))
Sewer 15,Sewer15Lower,Swamp18Upper,Sewer15Left + Sewer15Lower_Lever,Done,,,,Sewer15Left + Sewer15Lower_Lever
Sewer 17,Sewer17Left,Sewer14HiddenRight,None,Done,,,,None
Slum 1,Slum01Left,Crossroad02Right,Slum01Right | Slum01Lower,Done,,,,Slum01Right | Slum01Lower
Slum 1,Slum01Lower,Slum02Upper,Slum01Left | Slum01Right,Done,,,,Slum01Left | Slum01Right
Slum 1,Slum01Right,Street01Left,Slum01Left | Slum01Lower,Done,,,,Slum01Left | Slum01Lower
Slum 2,Slum02Lower,Sewer01Upper,Slum02Upper + pile_attack,Done,,,,Slum02Upper + pile_attack
Slum 2,Slum02Upper,Slum01Lower,Slum02Lower + (double_jump | wall_grab | high_jump),Done,should this be None? - original state you cannot progress past the pile_attack requirement,Slum02Lower + (double_jump | wall_grab | high_jump),,None
Street 1,Street01Door,Street18Door,Street01Left | Street01Right,Done,,,,Street01Left | Street01Right
Street 1,Street01Left,Slum01Right,Street01Right | Street01Door,Done,,,,Street01Right | Street01Door
Street 1,Street01Right,Street06Left,Street01Left | Street01Door,Done,,,,Street01Left | Street01Door
Street 2,Street02Left,Street18Right,Street02Right,Done,,,,Street02Right
Street 2,Street02Right,Street04Left,Street02Left + Street02Left_Lever,Done,,,,Street02Left + Street02Left_Lever
Street 3,Street03Door,Street10Door,Street03LowerLeft | Street03UpperLeft,Done,,"Street03 does not include any Street03Right , yet Street03LowerLeft is? is it because of where the lever/unlock position?",,Street03LowerLeft | Street03UpperLeft | Street03Right + key_lower
Street 3,Street03LowerLeft,Street05LowerRight,(Street03Door | Street03UpperLeft) + Street05LowerRight_Lever,Done,,,,(Street03Door | Street03UpperLeft | Street03Right + key_lower) + Street05LowerRight_Lever
Street 3,Street03Right,Street11Left,(Street03Door | Street03UpperLeft | Street03LowerLeft) + key_lower,Done,,,,(Street03Door | Street03UpperLeft | Street03LowerLeft) + key_lower
Street 3,Street03UpperLeft,Street05UpperRight,(Street03Door | Street03LowerLeft) + (double_jump | high_jump),Done,"wall_grab is not required, there are platforms that allow with only double_jump",,(Street03Door | Street03LowerLeft) + (double_jump + wall_grab | high_jump),(Street03Door | Street03LowerLeft | Street03Right + key_lower) + (double_jump | high_jump)
Street 4,Street04Left,Street02Right,Street04Right + (double_jump | high_jump),Done,,,,Street04Right + (double_jump | high_jump)
Street 4,Street04Right,Street05Left,Street04Left,Done,,,,Street04Left
Street 5,Street05Left,Street04Right,Street05LowerRight | Street05UpperRight,Done,should lowerRight include Lever?,,,Street05LowerRight | Street05UpperRight
Street 5,Street05LowerRight,Street03LowerLeft,Street05Left | Street05UpperRight,Done,,,,Street05Left | Street05UpperRight
Street 5,Street05UpperRight,Street03UpperLeft,(Street05Left | Street05LowerRight) + (double_jump | high_jump),Done,should lowerRight include Lever?,,,(Street05Left | Street05LowerRight) + (double_jump | high_jump)
Street 6,Street06Left,Street01Right,Street06Right,Done,,,,Street06Right
Street 6,Street06Right,Street07CenterLeft,Street06Left,Done,,,,Street06Left
Street 7,Street07CenterLeft,Street06Right,(Street07LowerLeft | Street07LowerRight) + (double_jump | high_jump) | Street07HiddenLeft | Street07UpperRight ,Done,,,,(Street07LowerLeft | Street07LowerRight) + (double_jump | high_jump) | Street07HiddenLeft | Street07UpperRight 
Street 7,Street07HiddenLeft,Street21Right,(Street07UpperRight | Street07LowerLeft | Street07LowerRight | Street07CenterLeft) + (high_jump | double_jump + (WALL_DASH | dodge)),Done,"UpperRight is mentioned twice? LowerLeft mentioned twice?
Added CenterLeft",All work with high_jump; All work with double_jump + dodge; all work with double_jump + WALL_DASH,"((Street07UpperRight | Street07LowerLeft | Street07LowerRight) + high_jump)
| (Street07UpperRight + (double_jump + dodge | WALL_DASH))
| ((Street07LowerLeft | Street07LowerRight) + (dodge + double_jump))",(Street07UpperRight | Street07LowerLeft | Street07LowerRight | Street07CenterLeft) + (high_jump | double_jump + (WALL_DASH | dodge))
Street 7,Street07LowerLeft,Street20Right,Street07CenterLeft | Street07LowerRight | Street07UpperRight | Street07HiddenLeft,Done,,,,Street07CenterLeft | Street07LowerRight | Street07UpperRight | Street07HiddenLeft
Street 7,Street07LowerRight,Street09Left,Street07CenterLeft | Street07UpperRight | Street07HiddenLeft | Street07LowerLeft,Done,,,,Street07CenterLeft | Street07UpperRight | Street07HiddenLeft | Street07LowerLeft
Street 7,Street07UpperRight,Street08Left,"((Street07LowerLeft | Street07LowerRight) + (double_jump | high_jump))
| Street07CenterLeft | Street07HiddenLeft",Done,,,,"((Street07LowerLeft | Street07LowerRight) + (double_jump | high_jump))
| Street07CenterLeft | Street07HiddenLeft"
Street 8,Street08Left,Street07UpperRight,Street08Right,Done,,,,Street08Right
Street 8,Street08Right,Street10Left,Street08Left,Done,,,,Street08Left
Street 9,Street09Left,Street07LowerRight,Street09Upper,Done,,,,Street09Upper
Street 9,Street09Upper,Street10Lower,Street09Left,Done,,,,Street09Left
Street 10,Street10Door,Street03Door,Street10Left | Street10Lower,Done,,,,Street10Left | Street10Lower
Street 10,Street10Left,Street08Right,Street10Door | Street10Lower,Done,,,,Street10Door | Street10Lower
Street 10,Street10Lower,Street09Upper,Street10Door | Street10Left,Done,,,,Street10Door | Street10Left
Street 11,Street11Left,Street03Right,Street11Right,Done,Need to add Upper?,,,Street11Right | Street11Upper
Street 11,Street11Right,Street12Left,Street11Left,Done,Need to add Upper?,,,Street11Left | Street11Upper
Street 11,Street11Upper,Center01Lower,(Street11Right | Street11Left) + EVT_ev_s_0180_StreetElevatorFix,Unsure,Elevator fix requires meeting all 3 attuners (Mine09Right | Mine09Upper) + (Swamp17Left + hook) + ((Quarry31Upper | Quarry31Right) + EVT_ev_s_e6050_Master_Defeat),,,(Street11Right | Street11Left) + EVT_ev_s_0180_StreetElevatorFix
Street 12,Street12Door,Street13Door,Street12LowerRight | Street12UpperRight | Street12Left + (double_jump | high_jump),Unsure,you probably meant double_jump + high_jump cause here WALL_DASH is redundant (FIXED),Added Lower & UpperRight,Street12Left + (double_jump | high_jump),Street12LowerRight | Street12UpperRight | Street12Left + (double_jump | high_jump)
Street 12,Street12Left,Street11Right,"Street12Door + (double_jump | high_jump | wall_grab)
| Street12LowerRight + (double_jump | high_jump | wall_grab | dodge) 
| Street12UpperRight",Done,"Added Street12Door
Added Dodge from LowerRight",,Street12LowerRight + (double_jump | high_jump | wall_grab) | Street12UpperRight,"Street12Door + (double_jump | high_jump | wall_grab)
| Street12LowerRight + (double_jump | high_jump | wall_grab | dodge) 
| Street12UpperRight"
Street 12,Street12LowerRight,Street19LowerLeft,"Street12UpperRight + (double_jump | high_jump | dodge | wall_grab)
| Street12Left + (double_jump | high_jump)
| Street12Door + (double_jump | high_jump | wall_grab)",Done,"Added Street12Door
Added logic from UpperRight",,Street12UpperRight | Street12Left + (double_jump | high_jump),"Street12UpperRight + (double_jump | high_jump | dodge | wall_grab)
| Street12Left + (double_jump | high_jump)
| Street12Door + (double_jump | high_jump | wall_grab)"
Street 12,Street12UpperRight,Street19UpperLeft,"(Street12Left | Street12Door) + (high_jump | (double_jump + (dodge | WALL_DASH)))
| Street12LowerRight + (high_jump | (dodge + (double_jump | WALL_DASH)) | (double_jump + WALL_DASH))",Done,"Added Street12Door
Tweaked logic from Left and simplified
LowerRight logic is intentional - not sure of better writing",,"((Street12Left | Street12LowerRight) + high_jump) 
| Street12Left + (double_jump + WALL_DASH) 
| Street12LowerRight + (high_jump |  (double_jump + dodge + wall_grab))","(Street12Left | Street12Door) + (high_jump | (double_jump + (dodge | WALL_DASH)))
| Street12LowerRight + (high_jump | (dodge + (double_jump | WALL_DASH)) | (double_jump + WALL_DASH))"
Street 13,Street13Door,Street12Door,(Street13LowerLeft | Street13LowerHidden | Street13LowerRight | Street13Left) + (double_jump | dodge | high_jump),Done,,,,(Street13LowerLeft | Street13LowerHidden | Street13LowerRight | Street13Left) + (double_jump | dodge | high_jump)
Street 13,Street13Left,Street17Right,"(Street13LowerLeft) + (double_jump | dodge | high_jump)
| (Street13LowerHidden | Street13LowerRight | Street13Door) + (double_jump | dodge | high_jump | WALL_DASH)",Done,can WALL_DASH too ,,(Street13LowerLeft | Street13LowerHidden | Street13LowerRight | Street13Door) + (double_jump | dodge | high_jump),"(Street13LowerLeft) + (double_jump | dodge | high_jump)
| (Street13LowerHidden | Street13LowerRight | Street13Door) + (double_jump | dodge | high_jump | WALL_DASH)"
Street 13,Street13LowerHidden,Street14UpperHidden,((Street13LowerLeft | Street13Left) + (double_jump | high_jump | dodge)) | Street13LowerRight | Street13Door,Done,Added Street13Door,Can WALL_DASH from Street17 thru Street13Left??,((Street13LowerLeft | Street13Left) + (double_jump | high_jump | dodge)) | Street13LowerRight ,((Street13LowerLeft | Street13Left) + (double_jump | high_jump | dodge)) | Street13LowerRight | Street13Door
Street 13,Street13LowerLeft,Street14UpperLeft,"((Street13LowerHidden | Street13LowerRight) + (double_jump | high_jump | dodge | WALL_DASH))
| (Street13Left | Street13Door)",Done,can WALL_DASH too ,,"((Street13LowerHidden | Street13LowerRight) + (double_jump | high_jump | dodge))
| (Street13Left | Street13Door)","((Street13LowerHidden | Street13LowerRight) + (double_jump | high_jump | dodge | WALL_DASH))
| (Street13Left | Street13Door)"
Street 13,Street13LowerRight,Street14UpperRight,"((Street13Left | Street13LowerLeft) + (double_jump | high_jump | dodge))
| (Street13LowerHidden | Street13Door)",Done,,Can WALL_DASH from Street17 thru Street13Left??,,"((Street13Left | Street13LowerLeft) + (double_jump | high_jump | dodge))
| (Street13LowerHidden | Street13Door)"
Street 14,Street14Right,Street15Left,Street14UpperRight | Street14UpperLeft,Done,,,,Street14UpperRight | Street14UpperLeft
Street 14,Street14UpperHidden,Street13LowerHidden,None,Done,,,,None
Street 14,Street14UpperLeft,Street13LowerLeft,Street14UpperRight | Street14Right,Done,,,,Street14UpperRight | Street14Right
Street 14,Street14UpperRight,Street13LowerRight,Street14UpperLeft | Street14Right,Done,,,,Street14UpperLeft | Street14Right
Street 15,Street15Left,Street14Right,Street15Right,Done,,,,Street15Right
Street 15,Street15Right,Tower01Left,Street15Left,Done,,,,Street15Left
Street 17,Street17Right,Street13Left,None,Done,,,,None
Street 18,Street18Door,Street01Door,Street18Right,Done,,,,Street18Right
Street 18,Street18Right,Street02Left,Street18Door + Street02Left_Lever,Done,,,,Street18Door + Street02Left_Lever
Street 19,Street19LowerLeft,Street12LowerRight,None,Done,,,,None
Street 19,Street19UpperLeft,Street12UpperRight,None,Done,,,,None
Street 20,Street20Right,Street07LowerLeft,None,Done,,,,None
Street 21,Street21Right,Street07HiddenLeft,None,Done,,,,None
Summit 1,Summit01LowerLeft,Summit02LowerRight,None,Done,,,,None
Summit 1,Summit01RightDoor,Kowloon04LeftDoor,Summit01UpperLeft,Done,,,,Summit01UpperLeft
Summit 1,Summit01UpperLeft,Summit02UpperRight,Summit01RightDoor,Done,,,,Summit01RightDoor
Summit 2,Summit02Left,Summit03Right,Summit02LowerRight | Summit02UpperRight,Done,,,,Summit02LowerRight | Summit02UpperRight
Summit 2,Summit02LowerRight,Summit01LowerLeft,Summit02UpperRight | Summit02Left,Done,,,,Summit02UpperRight | Summit02Left
Summit 2,Summit02UpperRight,Summit01UpperLeft,(Summit02Left | Summit02LowerRight) + (high_jump | (double_jump + WALL_DASH)),Done,,,,(Summit02Left | Summit02LowerRight) + (high_jump | (double_jump + WALL_DASH))
Summit 3,Summit03HiddenLeft,Summit04Right,(Summit03Right | Summit03UpperLeft) + (dodge | (wall_grab + (double_jump | wall_charge))),Done,,,,(Summit03Right | Summit03UpperLeft) + (dodge | (wall_grab + (double_jump | wall_charge)))
Summit 3,Summit03Right,Summit02Left,"Summit03UpperLeft 
| (Summit03HiddenLeft + (double_jump + dodge | WALL_DASH))",Done,,double_jump + dodge sufficient,"Summit03UpperLeft 
| (Summit03HiddenLeft + (double_jump + dodge + (high_jump | wall_grab) | WALL_DASH))","Summit03UpperLeft 
| Summit03HiddenLeft + (double_jump + dodge | WALL_DASH)"
Summit 3,Summit03UpperLeft,Summit06Right,"Summit03Right + (high_jump | double_jump | WALL_DASH | dodge + wall_grab)
| Summit03HiddenLeft + (double_jump + dodge | WALL_DASH)",Done,,fixed parenthesis and simplified logic,"(Summit03Right + (high_jump | double_jump | WALL_DASH) | (dodge + wall_grab))
| (Summit03HiddenLeft + (double_jump + dodge + (high_jump | wall_grab) | WALL_DASH))","Summit03Right + (high_jump | double_jump | WALL_DASH | dodge + wall_grab)
| Summit03HiddenLeft + (double_jump + dodge | WALL_DASH)"
Summit 4,Summit04Left,Summit05HiddenRight,Summit04Right + (double_jump + (WALL_DASH | (dodge + (high_jump | wall_grab))) | high_jump + WALL_DASH + dodge),Done,"Double_jump is not required in all variations
double_jump + wall_grab + dodge
double_jump + high_jump + dodge
double_jump + WALL_DASH
high_jump + WALL_DASH + dodge",there might be better way of writing,Summit04Right + (double_jump + dodge + (high_jump | wall_grab) | (double_jump + WALL_DASH)),Summit04Right + (double_jump + (WALL_DASH | (dodge + (high_jump | wall_grab))) | high_jump + WALL_DASH + dodge)
Summit 4,Summit04Right,Summit03HiddenLeft,Summit04Left + (double_jump + (WALL_DASH | (dodge + (high_jump | wall_grab))) | high_jump + WALL_DASH + dodge),Done,same as above,,Summit04Left + (double_jump + dodge + (high_jump | wall_grab) | (double_jump + WALL_DASH)),Summit04Left + (double_jump + (WALL_DASH | (dodge + (high_jump | wall_grab))) | high_jump + WALL_DASH + dodge)
Summit 5,Summit05HiddenRight,Summit04Left,(Summit05UpperRight | Summit05Left) + (dodge | wall_grab + (double_jump | wall_charge)),Done,,,,(Summit05UpperRight | Summit05Left) + (dodge | wall_grab + (double_jump | wall_charge))
Summit 5,Summit05Left,Summit07Right,"Summit05UpperRight 
| Summit05HiddenRight + (double_jump + dodge | WALL_DASH)",Done,,,,"Summit05UpperRight 
| Summit05HiddenRight + (double_jump + dodge | WALL_DASH)"
Summit 5,Summit05UpperRight,Summit06Left,"Summit05Left + (high_jump | WALL_DASH | wall_grab + (dodge | double_jump))
| Summit05HiddenRight + (double_jump + dodge | WALL_DASH)",Done,Not sure if double_jump is enough from Summit05Left,,"(Summit05Left + (high_jump | double_jump | WALL_DASH) | (dodge + wall_grab))
| (Summit05HiddenRight + (double_jump + dodge + (high_jump | wall_grab) | WALL_DASH))","Summit05Left + (high_jump | WALL_DASH | wall_grab + (dodge | double_jump))
| Summit05HiddenRight + (double_jump + dodge | WALL_DASH)"
Summit 6,Summit06CenterDoor,Summit12LeftDoor,Summit06Right | Summit06Left,Done,,,,Summit06Right | Summit06Left
Summit 6,Summit06Left,Summit05UpperRight,Summit06Right | Summit06CenterDoor,Done,,,,Summit06Right | Summit06CenterDoor
Summit 6,Summit06Right,Summit03UpperLeft,Summit06Left | Summit06CenterDoor,Done,,,,Summit06Left | Summit06CenterDoor
Summit 7,Summit07LowerLeft,Summit08LowerRight,(Summit07UpperLeft | Summit07Right) + dive + Summit08LowerRight_Lever,Done,,,,(Summit07UpperLeft | Summit07Right) + dive + Summit08LowerRight_Lever
Summit 7,Summit07Right,Summit05Left,(Summit07LowerLeft | Summit07UpperLeft) + dive,Done,,,,(Summit07LowerLeft | Summit07UpperLeft) + dive
Summit 7,Summit07UpperLeft,Summit08UpperRight,Summit07LowerLeft | Summit07Right + dive,Done,,,,"Summit07LowerLeft 
| Summit07Right + dive"
Summit 8,Summit08Left,Summit19Right,"Summit08LeftDoor 
| (Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump | WALL_DASH) 
| Summit08LowerRight + dash_charge + (double_jump | dodge)",Done,added WALL_DASH,,"Summit08LeftDoor 
| ((Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump)) 
| (Summit08LowerRight + dash_charge + (double_jump | dodge))","Summit08LeftDoor 
| (Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump | WALL_DASH) 
| Summit08LowerRight + dash_charge + (double_jump | dodge)"
Summit 8,Summit08LeftDoor,Summit11CenterDoor,"Summit08Left 
| (Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump | WALL_DASH) 
| Summit08LowerRight + dash_charge + (double_jump | dodge)",Done,added WALL_DASH,,"Summit08Left 
| ((Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump)) 
| (Summit08LowerRight + dash_charge + (double_jump | dodge))","Summit08Left 
| (Summit08UpperRight | Summit08RightDoor) + (dodge | double_jump | WALL_DASH) 
| Summit08LowerRight + dash_charge + (double_jump | dodge)"
Summit 8,Summit08LowerRight,Summit07LowerLeft,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + dash_charge + double_jump,Done,"NOTE this might be possible without double_jump, but it is.. annoying",,,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + wall_grab + dash_charge + double_jump
Summit 8,Summit08RightDoor,Summit15CenterDoor,"Summit08UpperRight 
| ((Summit08Left | Summit08LeftDoor) + (dodge | double_jump))
| (Summit08LowerRight + dash_charge + (dodge | double_jump))",Unsure,Can be reached from Summit19 using wall dash,,,"Summit08UpperRight 
| ((Summit08Left | Summit08LeftDoor) + (dodge | double_jump))
| (Summit08LowerRight + dash_charge + (dodge | double_jump))"
Summit 8,Summit08UpperRight,Summit07UpperLeft,"Summit08RightDoor 
| ((Summit08Left | Summit08LeftDoor) + (dodge | double_jump))
| (Summit08LowerRight + dash_charge + (dodge | double_jump))",Unsure,Can be reached from Summit19 using wall dash,,,"Summit08RightDoor 
| ((Summit08Left | Summit08LeftDoor) + (dodge | double_jump))
| (Summit08LowerRight + dash_charge + (dodge | double_jump))"
Summit 9,Summit09LowerLeft,Summit15Right,Summit09Right + (high_jump + dodge | dive + double_jump),Done,"Added dodge to high jump, and dive is not required in that scenario

Technically, can get there with only double_jump, thinking too difficult. maybe future hard mode","Hard Mode Scenarios:
double_jump
high_jump + (dodge | dive)
",Summit09Right + dive + (high_jump | double_jump),Summit09Right + (high_jump + dodge | dive + double_jump)
Summit 9,Summit09Right,Summit14Left,Summit09LowerLeft + (dive + (double_jump + wall_grab | high_jump + (dodge | double_jump)) | high_jump + (WALL_DASH | dodge)),Done,"Added high_jump + (WALL_DASH | dodge) (its pretty easy actually)

dive based logic might need further review","High_jump + double_jump is also possible, but is also very hard",Summit09Left + dive + (double_jump + wall_grab | high_jump + (dodge | double_jump)),Summit09LowerLeft + (dive + double_jump + (high_jump | wall_grab) | high_jump + (WALL_DASH | dodge))
Summit 9,Summit09UpperLeft,Summit15HiddenRight,None,Done,"Previously this was Lead to : ""Summit15Right"" ; I swapped it and line 842",,,None
Summit 10,Summit10Right,Summit11Left,None,Done,,,,None
Summit 11,Summit11CenterDoor,Summit08LeftDoor,Summit11Right | Summit11Left,Done,,,,Summit11Right | Summit11Left
Summit 11,Summit11Left,Summit10Right,Summit11Right | Summit11CenterDoor,Done,,,,Summit11Right | Summit11CenterDoor
Summit 11,Summit11Right,Summit16Left,Summit11Left | Summit11CenterDoor,Done,,,,Summit11Left | Summit11CenterDoor
Summit 12,Summit12LeftDoor,Summit06CenterDoor,"Summit12LowerLeft | Summit12UpperLeft
| (Summit12Right | Summit12RightDoor) + (high_jump | wall_grab)",Done,Added UpperLeft,,"Summit12LowerLeft 
| ((Summit12Right | Summit12RightDoor) + (high_jump | wall_grab))","Summit12LowerLeft | Summit12UpperLeft
| (Summit12Right | Summit12RightDoor) + (high_jump | wall_grab)"
Summit 12,Summit12LowerLeft,Summit13LowerRight,"Summit12UpperLeft 
| Summit12LeftDoor + (double_jump | dodge | high_jump | wall_grab)
| (Summit12Right | Summit12RightDoor) + (high_jump | wall_grab)",Done,"Added UpperLeft
Updated LeftDoor logic - single jump doesnt seem doable (without sprint)",,"Summit12LeftDoor 
| ((Summit12Right | Summit12RightDoor) + (high_jump | wall_grab))","Summit12UpperLeft | Summit12LeftDoor
| (Summit12Right | Summit12RightDoor) + (high_jump | wall_grab)"
Summit 12,Summit12Right,Summit18Left,"Summit12RightDoor 
| (Summit12LowerLeft | Summit12UpperLeft | Summit12LeftDoor) + (high_jump | wall_grab)",Done,Added UpperLeft,,"Summit12RightDoor 
| ((Summit12LowerLeft | Summit12LeftDoor) + (high_jump | wall_grab))","Summit12RightDoor 
| (Summit12LowerLeft | Summit12UpperLeft | Summit12LeftDoor) + (high_jump | wall_grab)"
Summit 12,Summit12RightDoor,Summit17CenterDoor,"Summit12Right 
| (Summit12LowerLeft | Summit12UpperLeft | Summit12LeftDoor) + (high_jump | wall_grab)",Done,Added UpperLeft,,"Summit12Right 
| ((Summit12LowerLeft | Summit12LeftDoor) + (high_jump | wall_grab))","Summit12Right 
| (Summit12LowerLeft | Summit12UpperLeft | Summit12LeftDoor) + (high_jump | wall_grab)"
Summit 12,Summit12UpperLeft,Summit13UpperRight,(Summit12LowerLeft | Summit12LeftDoor | Summit12Right | Summit12RightDoor) + WALL_DASH,Done,,,,(Summit12LowerLeft | Summit12LeftDoor | Summit12Right | Summit12RightDoor) + WALL_DASH
Summit 13,Summit13Left,Summit14Right,Summit13LowerRight + (high_jump | wall_grab | double_jump),Done,,,,Summit13LowerRight + (high_jump | wall_grab | double_jump)
Summit 13,Summit13LowerRight,Summit12LowerLeft,Summit13Left,Done,,,,Summit13Left
Summit 13,Summit13UpperRight,Summit12UpperLeft,None,Done,,,,None
Summit 14,Summit14CenterDoor,Summit20CenterDoor,Summit14Left | Summit14Right,Done,,,,Summit14Left | Summit14Right
Summit 14,Summit14Left,Summit09Right,Summit14Right | Summit14CenterDoor,Done,,,,Summit14Right | Summit14CenterDoor
Summit 14,Summit14Right,Summit13Left,Summit14Left | Summit14CenterDoor,Done,,,,Summit14Left | Summit14CenterDoor
Summit 15,Summit15CenterDoor,Summit08RightDoor,Summit15HiddenRight | Summit15Right | Summit15Left + Summit16Right_Lever,Done,,,,Summit15HiddenRight | Summit15Right | Summit15Left + Summit16Right_Lever
Summit 15,Summit15HiddenRight,Summit09UpperLeft,(Summit15Right | Summit15CenterDoor | Summit15Left + Summit16Right_Lever) + (high_jump | double_jump + wall_grab),Done,"This was Lead to : ""Summit09LowerLeft"" ; changed to Summit09UpperLeft and updated 862 accordingly",,,(Summit15Right | Summit15CenterDoor | Summit15Left + Summit16Right_Lever) + (high_jump | double_jump + wall_grab)
Summit 15,Summit15Left,Summit16Right,(Summit15Right | Summit15HiddenRight | Summit15CenterDoor) + Summit16Right_Lever,Done,,,,(Summit15Right | Summit15HiddenRight | Summit15CenterDoor) + Summit16Right_Lever
Summit 15,Summit15Right,Summit09LowerLeft,Summit15HiddenRight | Summit15CenterDoor | Summit15Left + Summit16Right_Lever,Done,,,,Summit15HiddenRight | Summit15CenterDoor | Summit15Left + Summit16Right_Lever
Summit 16,Summit16CenterDoor,Summit24CenterDoor,(Summit16Right + Summit16Right_Lever | Summit16Left) + (high_jump | double_jump + wall_grab),Done,,,,Summit16Left + (high_jump | (double_jump + wall_grab))
Summit 16,Summit16Left,Summit11Right,Summit16Right + Summit16Right_Lever | Summit16CenterDoor,Done,,,,Summit16Right | Summit16CenterDoor
Summit 16,Summit16Right,Summit15Left,Summit16CenterDoor | Summit16Left,Done,,,,Summit16CenterDoor
Summit 17,Summit17CenterDoor,Summit12RightDoor,Summit17LowerLeft ,Unsure,Can be reached from 17UpperLeft with a wall dash from 23UpperRight but 23UpperRight can only be accessed from 17LowerLeft or 17CenterDoor,"Aloha IMO - since UpperLeft in this scenario is essentially more of a ""None"" as it is a technical dead-end (and even logically), am fine to exclude from this row and the next",,Summit17LowerLeft 
Summit 17,Summit17LowerLeft,Summit23LowerRight,Summit17CenterDoor,Unsure,Unsure based on same comment as above,,,Summit17CenterDoor
Summit 17,Summit17UpperLeft,Summit23UpperRight,(Summit17LowerLeft | Summit17CenterDoor) + WALL_DASH + (high_jump | hook + (double_jump | dodge)),Done,added high_jump option,,,(Summit17LowerLeft | Summit17CenterDoor) + WALL_DASH + (high_jump | hook + (double_jump | dodge))
Summit 18,Summit18Left,Summit12Right,None,Done,,,,None
Summit 19,Summit19CenterDoor,Labo18RightDoor,Summit19Right,Done,,,,Summit19Right
Summit 19,Summit19Right,Summit08Left,Summit19CenterDoor,Done,,,,Summit19CenterDoor
Summit 20,Summit20CenterDoor,Summit14CenterDoor,Summit20Upper,Done,,,,Summit20Upper
Summit 20,Summit20Upper,Summit21Lower,Summit20CenterDoor + Summit20Upper_Lever + (double_jump + wall_grab | high_jump | WALL_DASH),Done,,,Summit20CenterDoor + Summit20Upper_Lever,Summit20CenterDoor + Summit20Upper_Lever + (double_jump + wall_grab | high_jump | WALL_DASH)
Summit 21,Summit21Left,Summit24LowerRight,Summit21Lower | Summit21Right + WALL_DASH,Unsure,"Wall Dash needed to proceed through next transition

my question would be, is WALL_DASH then required for Summit21Left to other entrances as well?",,,Summit21Lower | Summit21Right + WALL_DASH
Summit 21,Summit21Lower,Summit20Upper,Summit21Left | Summit21Right,Not Labbed,,,,Summit21Left | Summit21Right
Summit 21,Summit21Right,Summit22LowerLeft,(Summit21Lower | Summit21Left) + (high_jump | wall_grab),Not Labbed,,,,(Summit21Lower | Summit21Left) + (high_jump | wall_grab)
Summit 22,Summit22CenterLeft,Summit25LowerRight,(Summit22CenterRight + Summit23CenterLeft) + WALL_DASH,In Progress,"""Intended"" WALL_DASH from summit21 thru summit22lowerleft, hit switch in summit23 and walldash from summit23 thru summit22centerright , hit switch in summit22 and walldash","you can technically break the wall by dashing away from just above and dashing back; i believe this kind of thing is used in speedrun, is this something we'd want as well?

in that case, would add: Summit22LowerLeft + (double_jump | high_jump) + WALL_DASH",Pending clarification,Summit23CenterLeft + WALL_DASH
